s24:4e1e36cd1275419b43036c7b87574ace 	 not-obscene 	 Ootko sinä se mies pusikosta joka kirjoittelet tänne....:)? 	 0.1854851394891739
s24:848eb5e8b0173c1ff262b6459a63a285 	 not-obscene 	 Mielipiteitä on joka lähtöön. Kiitos teille jotka yritätte tukea ja kirjoitatte rakentavia juttuja. Tiedän että luottamus on asia joka on hyvin vaikea saada takaisin, mutta en usko että se on mahdotonta. Olen itsekkin saanut luottamuksen takaisin pitkäaikaiseen ystävääni joka kerran petti minut. Löysin vikaa myös itsestäni ja annoin anteeksi, vaikka helppoa se ei ollut. Jokatapauksessa lähden vaikka vuoden pituiseen pariterapiaan, jotta kumppanini voisi saada mielenrauhan asian suhteen. En halua että hän kärsii. Ja kun todellakin tämä on ainut asia joka suhdettamme hiertää. Ja kaiken tämän tuskan jälkeen mitä olemme joutuneet käymään läpi, voin sanoa etten petä uudestaan. Tai jos petän, niin silloin olen jo täysin seonnut tai muuttunut joksikin muuksi ihmiseksi. Ja nyt olen täysin uskollinen, enkä ole antanut aihetta mustasukkaisuuteen vaikka kumppanini sitä tietenkin on. Ja ymmärrän sen täysin. 	 0.0007721941219642758
s24:11101e0a8f46ffd6604ad51d1651ea23 	 not-obscene 	 Voi ei. tulipa mieleen oma tilanteeni 25-vuotta sitten. Ymmärrän aloittajaa ja huomaan kuinka iso ja huolestuttava asia tämä teille on ja hyvä kun rohkenet kirjoittaa tänne. Minulle sanottiin aikanaan, että lapseni on liikaa kiinni äidissään ja kyllä minullekkin nimitys löytyi.  Lapseni oli 11kk:n ikäinen, herraisä sentään tottakai hän oudoksui kaikkea ja itki sydäntäsärkevästi. Surin vuosia miksi vein niin pienen vieraille, mutta töihin oli mentävä. Onneksi isovanhemmat tukivat ja tein lyhennettyä työpäivää. Ihmettelen vanhempia jotka tunkevat lapsensa muiden hoitoon ja ovat itse kotona.  Voimia ja tsemppiä pidä puolesi. Kuka sinun ja lapsesi puolia pitää jos et sinä. 	 0.0012598687317222357
s24:acd8166005dc8f6ac9664922edd3536d 	 not-obscene 	 "... joku puhuu asiaa, että missä mennään tänään nyky-yhteiskunnassa. On sananlasku ""Kaiken pahan alku ja juuri on raha"" ei silti pidä paikkaansa. Jos sananlaskuun lisätään ""...jos ihminen on köyhä hengellisessä mielessä"", niin sitten se pitää paikkansa. Rahan valta syrjäyttää siten tärkeämmät asiat. Kuka alkaisi 'hengelliseksi patriootiksi'? Vapaaehtoisia? Minä en ainakaan pysty tällähetkellä, koska tarvitsen euroja tekemiseen ja elämiseen." 	 0.000756461697164923
s24:d9788b1aea19facd9de578736363f9cb 	 not-obscene 	 ja kirjoittamiasi viestejä on pilvin pimein;))))))))))) 	 0.0009003389859572053
s24:5737b2f2a5754d6e53175f78d42e59b1 	 not-obscene 	 Registeröitymisistömättömistä nimimerkeistä puheen ollenYritin itse registeröidä silloisen nimimerkkini monta vuotta sitten, Suomen rajojen ulkopuolella asuvana, mutta se stoppasi aina antamaani puhelinnumeroon. Voiko nykyisin ulkosuomalainenkin registteröidä nimimerkkinsä ja miten? 	 0.0007480037165805697
s24:6bd00a91d3384b374602f8f649eadda2 	 not-obscene 	 Suomenojan venesatamassa on minusta nyt korrputio ja yhden yrittäjän päähänpotkiminen mennyt liian pitkälle. En voi ymmärtää, miksi samat rikoksen epäilyn alla olevat tyypit saavat jatkaa virassaan ja jatkaa kaunpungin rahoilla harrastettavaa yrittäjän kiusaamista.  Koko sakki olisi pitänyt laittaa sivuun samoin tein, muihin tehtäviin siksi aikaa, kun homma on saatu selvitettyä. Viimeiaikaiset uutiset vaan kertovat sen, että sama ylimielinen vallan huuma vaan jatkaa kihelmöimistään.  Minusta asiasta kannattaa laittaa reippaasti palautetta kaupungille. Onhan niiden johnkin toimiin ryhdyttävä. 	 0.0015056910924613476
s24:d37d439cccdc2e4b75098a085b597a4a 	 not-obscene 	 olet väärässä. minä näen kannabiksessa paljon positiivista mutta kannabiksen viihdekäyttäjissä en näe mitään positiivista siinä olet oikeasssa 	 0.0023733905982226133
s24:581461c1c0c1ba996dadfc20ad1a0584 	 not-obscene 	 menit itsekin !  BUAHAHAAAA 	 0.002808794379234314
s24:d86c6c99fc38edb7f78ef8441b813eac 	 not-obscene 	 nyt on selittelyn makua. 	 0.0008006914285942912
s24:c8f959a3d5a720b5296dc7f0899428af 	 not-obscene 	 otat vaan sen espanjan kurssin kirjan esiin, kysyt opettajalta, millä tehtävillä pääsee kokeeseen, teet kokeen ja that's it. Kielen ihminen kerran opeteltuaan osaa ainakin jollakin muulla kuin hylätyn tasolla ja mietippä ku ei tartte muistella ja lukea ku yhteen kokeeseen enää, niin homma on siinä. :) Ja aika omituinen lukio jos ei etänä voi kurssia suorittaa tämän kevään aikana? Eikö se nuoremmillakin 1. ja 2. vuoden opiskelijoilla pitäs vielä koeviikko olla edessä? Tsemppiä! 	 0.000990969012491405
s24:93dbf479467b46638b541e380c91b6db 	 not-obscene 	 En väitä mitään, enkä tiedä muuta kuin että omassani on.  Joo saattaa olla niin harvinaista että ehkä sinun(kin) on parempi odotella rauhassa vuokralla ja ostaa piakkoin -70%hinnalla sellainen jossa löytyy. 	 0.001173604279756546
s24:fe578cf7e7502642ba3baf2ca103486c 	 not-obscene 	 "Tulihan se ongelman ydin vihdoin esiin tässä viestissä: pelkkä sana ""nöyristellä"" kertoo enemmän kuin mikään muu. Nettifennolla on ikuinen alemmuudentunto suhteessa Ruotsiin, suomenruotsalaisiin ja ruotsiin kieleen, ja tämä on se asia, joka erottaa keskivertosuomalaisen nettifennosta." 	 0.0008253294508904219
s24:f4383e102247bb5a1e3640adba78f582 	 not-obscene 	 Hei  Laitappa paljon hyviä kuvia tulemaan sähköpostilla aki-68@luukku.com. 	 0.0007588663138449192
s24:883c326e804a415e6aa751a80acea4a6 	 not-obscene 	 Joku poika ilmeisesti yritti jotakin kirjoittaa, mutta poikien uhot poistetaan, samalla lailla kun jääkiekkojoukkue, huonot pois. 	 0.003423849120736122
s24:b5bf94321ba6bc321d7c2f73aa61825e 	 not-obscene 	 jos ei sitten kiinalaiset keksi vielä jotain. Niillä varmaan mattarit maksaa vähemmän ku meillä herneet niin saadaan hajun lisäksi myös ääni 	 0.0019426848739385605
s24:4a0ae10fe05d8613c7a345617c57c365 	 not-obscene 	 Itselleni vieraan kielen sanojen muistaminen on aika hankalaa suomesta vieraaseen kieleen päin, mutta vieraasta kielestä suomeen se on yleensä tosi helppoa. Nasse on todella hyvä ääntämään eri kieliä ja tunnistamaan hankalia äänteitä. 	 0.000757753208745271
s24:f5b133903c9e9459587db6e417644263 	 not-obscene 	 ilmaista kohteliaasti sivistyksesi tason:) Milläs meinaat, että puskasta kirjoittaja saisit kaipaamasi rauhan? Ehkä lopettamalla palstailun?.Mulla ei ole aikomustakaan lopettaa, saati sivistyä. Mää vaan kirjoitan:) 	 0.060030147433280945
s24:ead5b0cf538f17357ed9d8d018a10d0e 	 not-obscene 	 eduskunnan vuosi menot jo noin 50milj niin tehostamis toimenpiteen olisi tätä päivää. 	 0.0008613027166575193
