ID	label	text
s24:88c059682337db3d3215ecc096417e09	not-severe_toxicity	Hyppää ny äkkiä kaivoon tai sinne helvetin CHÄTTIIS äläkä valita...
s24:04e1ffa45e182f015029e0539d6e41a0	not-severe_toxicity	Jaha?? Milloin oli sitten viime tapaus? Eihän kielestä kerro mitään... Ja lisäksi, mitä hittoa teitä vaivaa?? Joku kuolee ja heti käytte kimppuun. Kusipäät.
s24:1df689003308df72ccf36d2140de1766	not-severe_toxicity	mAkKARRONI SOLTTU  Maailman surkein solttu.
s24:136e30404014afcf1b755047739665c8	not-severe_toxicity	Käänsi selän, eikä sen jälkeen tehnyt elettäkään siihen suuntaan, että olisi mitään halunnut, tai yleensäkään ollut edes hereillä. Tuollaiselta pikkuapinalta pitäisi hirttää munat irti.
s24:ed65aac1682c202877b12eb5ec7b21b9	not-severe_toxicity	Voi Vittu Nainen. Ents jos sinua ei ookkaan seuraavana aamuna tekemäss puuroa lapsillesi ku olet aivokuollut. ??  Mies voi vajavaisuuttaan aiheuttaa sinulle vaiikka mitä. Hyväksytkö sen.
s24:9c7f890d3201ae5e2868d0388b96f96d	not-identity_attack	"Mestistä/tsekkiä/Frasmannia2/lätkät.  AC Sparta Praha-FC Baník Ostrava (tulosarvio 2:0) 64 % 21 % 15% K:1.47. 2.67 MANCHESTER UTD (ENG) 2.65 BARCELONA (ESP) CS Sedan Ardennes-Racing Club de Lens (Tulosarvio 1:2 )24 % 28 % 48 % K:2.40. B ETHNIKI Kreikka. Hieno 1.22 kerroin. Atromitos Peristeri-Kalamata FC(Tulosarvio 2:0)59 % 24 % 18 % 1 ja svenskamammaa. Őrgryte IS-IF Brommapojkarna (tulosarvio 0:2) 12 % 19 % 69 % K:2.55. Djurgärdens IF FF-GAIS Göteborg (Tulosarvio 1:2)24 % 28 % 49 % K:2.87 Ja namupala huonolla. BSC Young Boys Bern-FC Vaduz(Tulosarvio 3:0)75 % 17 % 09 % (Tähän dumpataan rahaa ja sitten itketään.) Mm-lätkää. 1.55 UNITED STATES 6.50 FINLAND pakko yhtee flipariin tolla kertoimella. Pienellä.Vitun centtu, nappas pois jenkit. Olkaa hyvä jos jotai löytyy. Peli ""onnea. """
s24:3b1b109337d0a6abfbe0dd65d4b77a91	not-identity_attack	Anonyymi nyt tulit minun henkilökohtaiselle itsemääräämisoikeuden rajalle😤TÄSSÄ MENEE RAJA!  Eiköhän seksuaalisen suuntautumisen määrittely ole ihan minun henkilökohtainen asia! Siihen ei ole kenelläkään ulkopuolisella mitään sanomista! Minun seksuaalinen suuntautuminen on minun henkilökohtainen itsemäärittely/ itsrmääräämis oikeuteni!  Nyt tiedän joltain osin miltä homoseksuaaleista on kautta historian tuntunut, kun heidän seksuaalisuuttaan parjataan, sörkitään ja arvostellaan yksityisesti ja mediassa! Voi vittu!🤯 Luulin ettei minua saa sateenkaari asioista barrikaadeille, että osaan olla maltillisempi, olin väärässä! Otin ensin huumorilla, kun luulin että joku hyvin nuori lesbo kommentoi...Helvetti mitä paskaa!  Mikäli itse olet Bi, et ehkä voi käsittää asiaa, mutta sinulla ei ole oikeutta ylittää minun itsemääräämis oikeutta omasta seksiaalisuidestani!  Luulis, että tälläisellä vähemmistöille tarkoitetulla palstalla ei joutuisi kohtaamaan tälläistä toimintaa! Ihan helvetin paskaa!
s24:810e07f5b6d71eb64757bdaaef603818	not-identity_attack	Äly hoi. Eivät kaikki 15-60 vuotiaat miehet halua sotia. Sinä siis kannatat, että kaikki tuon ikäiset miehet pitäisi teloittaa varmuuden vuoksi. Natsi.
s24:4b2fc83a5caa38a140fc5e9792ec1b28	not-identity_attack	Heh heh Natsit hyökkäsivät ja saivat turpiinsa kuten aina elämässään. Sitten alkoi itku. Olette Suomen säälittävimpiä luusereita.
s24:fb09f3474dad25f60f6b6204d546c280	insult	On akka (räsäskä alias räkäskä) onnistunut pääsemään idiotismin eturintamaan.
s24:ca3a2df33f156f8f5a8c99c8df19a750	not-insult	minä raiskaan sinut arpalahti siinä on perseeseen vedon tahti ota suunnaksi olli arpalahti huhuhuhuhuhu vääääääääk iiiiiiiiiiik
s24:854810647ecad592a10258b80cdb771a	insult	Kaupassa haisi  Voiko myllykoskelainen iso-mahanen mies käydäpesulla kun asioit s-marketissa...mun ei tarvii oksentaa kun kotia pääsen kun nenään jää haju vellomaan!!!!!!napasiko haisi vai rasvanen tukkasi?pese se!!osta vielä pitempiä t-paitoja kun mahasi näkyy puoliksi ulkoona ja mie en tykkää siitä,sekin näky mua yrjöttäää!!!!!!miksi jotkut ihmiset ei voi huolehtia omasta itestää.ilmoitan sinusta sosiaalitoimeen jos et ala peseytyy laittakoot pakkohoitoon jos pitää olla tollanen joka ei kykene itestää huolehtii ja toisten ihmisten mielen pilaat kun sinut näkee ja kusella käyt ravintoloissa mitään ostamatta ja myllykosken sivan takan liikut ja sulla on henkselit aina!!!teen susta ilmotuksen ja passitan mielisairaalaan opettakoon siellä sulle pesut sun muut!!!!!!!!!!!
s24:36130e6b472081659f7597d3b437af63	not-insult	Tää on aika hyvä:  Mrs Weasley: NOT MY DAUGHTER, YOU BITCH!
s24:477cb46b1e1aefa69aad7f2f1568c153	not-insult	PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU
s24:05f3f2b309f7fe45f386ce3106ac8369	not-insult	"Pahin pelkoni on se, että naiset alkaisivat julkisesti pitää minua likaisena, pervona ällötyksen aiheena ja sanoisivat aina kovaan ääneen ""yök"" minut nähdessään ja kiertäisivät kaukaa. Samaan syssyyn tietenkin muut miehet alkaisivat halveksua ja pitäisivät minua täys pellenä. Ehkä monet niin saattavat mielessään ajatellakkin mutta pääasia etteivät sano sitä ääneen."
s24:86810a96fb2e1ecb8699c5404f8e8cad	obscene	No vittu just niin VITTU!!! Nyt vittu sitä vitun PILLUA!! Muuten ei henki kehity! HUORAT PERKELE!!!
s24:5bd281cc69877fcbb2893920a20ad253	not-obscene	mullekin mummo valitti mutta löin turpaan
s24:954d7d57770857c3dd6c74e3541280dc	not-obscene	Isältäni en ole koskaan penniäkään pyytänyt, vaan omin päin liikkunut maailmalla aivan samalla tavalla kuin kotiseutuni ikätoverit. Kak dela? What's the good word? Etkö fenno vieläkään oke tajunnut, ettei kieliä opi koulussa, vaan elämällä! Lienet elävänä kuollut, omassa surkeudessasi!
s24:23b75afe786c4e5993c01e6c8cf68dbe	not-obscene	Homofoobikko täyspäinen hetero? Pelkäät sä että Haavisto tulee ja raiskaa?
s24:fb09f3474dad25f60f6b6204d546c280	not-obscene	On akka (räsäskä alias räkäskä) onnistunut pääsemään idiotismin eturintamaan.
s24:954d7d57770857c3dd6c74e3541280dc	not-threat	Isältäni en ole koskaan penniäkään pyytänyt, vaan omin päin liikkunut maailmalla aivan samalla tavalla kuin kotiseutuni ikätoverit. Kak dela? What's the good word? Etkö fenno vieläkään oke tajunnut, ettei kieliä opi koulussa, vaan elämällä! Lienet elävänä kuollut, omassa surkeudessasi!
s24:ca3a2df33f156f8f5a8c99c8df19a750	threat	minä raiskaan sinut arpalahti siinä on perseeseen vedon tahti ota suunnaksi olli arpalahti huhuhuhuhuhu vääääääääk iiiiiiiiiiik
s24:70fe022e972ea47084068422f07d881a	not-threat	Sä haluut...  Sä haluut satuttaa sä saat mut itkemään  Mä takias teen mitä vaan vaikka naurat mulle vaan  Oon ehkä pelle,narris sun karrelle poltat syämeni mun  Sä selkääni heität tikarin kylmää vettä niskaan nakkaat  Oot peluri,julmureista pahin mutta ihana kuitenkin  Sä haluut satuttaa sä saat nut itkemään
s24:04e1ffa45e182f015029e0539d6e41a0	not-threat	Jaha?? Milloin oli sitten viime tapaus? Eihän kielestä kerro mitään... Ja lisäksi, mitä hittoa teitä vaivaa?? Joku kuolee ja heti käytte kimppuun. Kusipäät.
s24:3b1b109337d0a6abfbe0dd65d4b77a91	not-threat	Anonyymi nyt tulit minun henkilökohtaiselle itsemääräämisoikeuden rajalle😤TÄSSÄ MENEE RAJA!  Eiköhän seksuaalisen suuntautumisen määrittely ole ihan minun henkilökohtainen asia! Siihen ei ole kenelläkään ulkopuolisella mitään sanomista! Minun seksuaalinen suuntautuminen on minun henkilökohtainen itsemäärittely/ itsrmääräämis oikeuteni!  Nyt tiedän joltain osin miltä homoseksuaaleista on kautta historian tuntunut, kun heidän seksuaalisuuttaan parjataan, sörkitään ja arvostellaan yksityisesti ja mediassa! Voi vittu!🤯 Luulin ettei minua saa sateenkaari asioista barrikaadeille, että osaan olla maltillisempi, olin väärässä! Otin ensin huumorilla, kun luulin että joku hyvin nuori lesbo kommentoi...Helvetti mitä paskaa!  Mikäli itse olet Bi, et ehkä voi käsittää asiaa, mutta sinulla ei ole oikeutta ylittää minun itsemääräämis oikeutta omasta seksiaalisuidestani!  Luulis, että tälläisellä vähemmistöille tarkoitetulla palstalla ei joutuisi kohtaamaan tälläistä toimintaa! Ihan helvetin paskaa!
s24:9554eaa5ec2166ea91064ae966c3732c	not-threat	Tervolle terkkuja kajaanista kaksi irakin kusipäätä ryösti ja tappoi suomalaisen autistisen valkoisen roskakansalaisen he ryöstivät myöskin toisen valkoisen suomalaisen rasisti autisisen roskakansalaisen kännykän samana iltana mutta jättivät valkoisen rasisti suomalaisen autistisen elämään.
s24:23b75afe786c4e5993c01e6c8cf68dbe	not-threat	Homofoobikko täyspäinen hetero? Pelkäät sä että Haavisto tulee ja raiskaa?
s24:1df689003308df72ccf36d2140de1766	not-threat	mAkKARRONI SOLTTU  Maailman surkein solttu.
s24:86810a96fb2e1ecb8699c5404f8e8cad	not-threat	No vittu just niin VITTU!!! Nyt vittu sitä vitun PILLUA!! Muuten ei henki kehity! HUORAT PERKELE!!!
s24:e6f9ca11b9b1afb99964be9a8087fdaf	not-threat	niin niin... naisen syyhän se on että tulee raiskatuksi... Oliskohan juuri tällaisen ajattelumallin syy, ettei raiskatut uskalla suutaan avata, varsinkaan jos raiskaaja on suomalainen.
s24:5bd281cc69877fcbb2893920a20ad253	not-threat	mullekin mummo valitti mutta löin turpaan
s24:4b2fc83a5caa38a140fc5e9792ec1b28	not-threat	Heh heh Natsit hyökkäsivät ja saivat turpiinsa kuten aina elämässään. Sitten alkoi itku. Olette Suomen säälittävimpiä luusereita.
s24:854810647ecad592a10258b80cdb771a	not-threat	Kaupassa haisi  Voiko myllykoskelainen iso-mahanen mies käydäpesulla kun asioit s-marketissa...mun ei tarvii oksentaa kun kotia pääsen kun nenään jää haju vellomaan!!!!!!napasiko haisi vai rasvanen tukkasi?pese se!!osta vielä pitempiä t-paitoja kun mahasi näkyy puoliksi ulkoona ja mie en tykkää siitä,sekin näky mua yrjöttäää!!!!!!miksi jotkut ihmiset ei voi huolehtia omasta itestää.ilmoitan sinusta sosiaalitoimeen jos et ala peseytyy laittakoot pakkohoitoon jos pitää olla tollanen joka ei kykene itestää huolehtii ja toisten ihmisten mielen pilaat kun sinut näkee ja kusella käyt ravintoloissa mitään ostamatta ja myllykosken sivan takan liikut ja sulla on henkselit aina!!!teen susta ilmotuksen ja passitan mielisairaalaan opettakoon siellä sulle pesut sun muut!!!!!!!!!!!
s24:136e30404014afcf1b755047739665c8	threat	Käänsi selän, eikä sen jälkeen tehnyt elettäkään siihen suuntaan, että olisi mitään halunnut, tai yleensäkään ollut edes hereillä. Tuollaiselta pikkuapinalta pitäisi hirttää munat irti.
s24:ed65aac1682c202877b12eb5ec7b21b9	not-threat	Voi Vittu Nainen. Ents jos sinua ei ookkaan seuraavana aamuna tekemäss puuroa lapsillesi ku olet aivokuollut. ??  Mies voi vajavaisuuttaan aiheuttaa sinulle vaiikka mitä. Hyväksytkö sen.
s24:810e07f5b6d71eb64757bdaaef603818	not-threat	Äly hoi. Eivät kaikki 15-60 vuotiaat miehet halua sotia. Sinä siis kannatat, että kaikki tuon ikäiset miehet pitäisi teloittaa varmuuden vuoksi. Natsi.
