s24:a375bdf793300fa281233f2e0bc86be3 	 insult 	 Jos ulosmenet, hinttiäänestäjä! 	 0.9936708211898804
s24:7ce3ad47ed18cf4c50c578d67a6a9d7a 	 insult 	 Vieläkö sä vänkäät vaikka kaikki sun teorias on osoitettu vääriksi. Itse et pysty mitään todistamaan, vaikka sitä sulta pyydetään, joten olet siten jo osoittanut, mikä sä oot miehiäs ja mikä et! Sä et oo mitään muuta kuin pelkkä ilekeämielinen, kateellinen ja rasistinen pikkupaska, josta ei oo muuhun kun suutaan soittamaan. Blääh! Kasva aikuiseks joskus, jos osaat. 	 0.9942777752876282
s24:3da063b05d95fe0829b57c9667862597 	 not-insult 	 Voiko peräreikään ottaa  Vaikkapa sellainen helistin, että kun paskantaa, niin se helisisi mukavasti. 	 0.43347278237342834
s24:579f8bd885f3dd7c6b77ab6f053dea88 	 not-insult 	 Taidan heivata vittuun kaikki  Katain ja porvarihallitus on vetänyt kansamme vihreiden kanssa viemäristä alas.  http://www.youtube.com/watch?v=gztGzNljqW4&feature=related  Ohi on ohi on, ei mikää ole loputon Tiedoksi sinulle Käteinen.  http://www.youtube.com/watch?v=CuXIuPzXuKc&feature=related 	 0.9793217778205872
s24:f920a7ae92adf942bda20fb59cb306fb 	 not-insult 	 mulkosilmähän oli oikein varsin erityisesti eurooppalaisille suunniteltu, varmaankin ihan vittuillessaan tehneet euroille tuollaisen rumiluksen kun muualla maailmassa saman sukupolven Corolla oli ihan siistin ja asiallisen näköinen auto. 	 0.07795299589633942
s24:258317bdf1f208ebc960a76e194d0721 	 not-insult 	 ÄLVÄRI ON PARAS  menihän ne Älvärin kateelliset vihaajat hiljaiseksi. Kyllähän se alkaa alahuulta väpättämään kun tehdas myy jo vuotta 2007 TYYTYVÄISILLE asiakkaille. 	 0.0757993534207344
s24:75bd643f6317fde158114d7c8925d3ef 	 not-insult 	 Mikke o muute hyvä mut mite noi kävi et munas ton. PS mul käy melkei aina noin. 	 0.16539321839809418
s24:fdb143c1d882590cc5fed249f5ba7682 	 insult 	 Ällöttävää. Tuosta Teuvo Harju kirjoitti Keparissa vajaa vuosi sitten. Kyyhkyt kasvattavat kesän poikasiaan ja sitten joku nulikka lahtaa ne huvikseen. Niin ja polkee sitten mättääseen. Ja tällaisilla idiooteilla on aseita ja luvatkin vielä niille. 	 0.5614417791366577
s24:742db3ac77d72ad48dd7af3feef3dcff 	 insult 	 Valehtelija!  Kiero!  Yrittää saada korvauksia vaikka ei oikeasti saanut myrkytystä!  Saunan taakse tuollaiset! 	 0.9020382165908813
s24:a84f27d846b94b1554324a043682e781 	 insult 	 Kateellisen persaukisen ininää, jolla ei tule koskaan olemaan varaa Skodaan, ei edes ajokorttiin. 	 0.9960816502571106
s24:36130e6b472081659f7597d3b437af63 	 not-insult 	 Tää on aika hyvä:  Mrs Weasley: NOT MY DAUGHTER, YOU BITCH! 	 0.9940324425697327
s24:36130e6b472081659f7597d3b437af63 	 not-insult 	 Tää on aika hyvä:  Mrs Weasley: NOT MY DAUGHTER, YOU BITCH! 	 0.9940324425697327
s24:a0bcbb1ea190ea14c03d77783bab613f 	 insult 	 Mitä sinä kaheli täällä pyörit? Mene jonnekkin mielenterveys palstalle ongelmiesi kanssa tai vedä itsesi naruun. 	 0.9423732161521912
s24:39041fec41b2ed1fda0200745dc52bca 	 insult 	 Tavallinen Olet hullu, rupesitko jo kiusaamaan NATO-mediaa nettihyökkäyksillä. Eikö meidän NATOn vastustajien vakoileminen ja kiusaaminen enää kiksaa. 	 0.5051092505455017
s24:bba4bbf535642060c9cf13af577f3c0c 	 not-insult 	 Ei saa ja se on tyhmää. 	 0.9960722923278809
s24:18573597f96dd91c6219a9714bceeec4 	 not-insult 	 Totta se on, kukaan ei ole niin kova pätemään ku pienimunanen kaveri. 	 0.9935516119003296
s24:89625a2b236396c71e5b86e17703e193 	 insult 	 et oo provo niin sä olet todella lapsellinen! Ei ole oikein tehdä tahallaan isätön lapsi! Toivon todella ettet saa lasta... ÄLÄKÄ ihmeessä mee kaivelee mitään roskiksia saat siitä spermasta jonkun taudin vielä! Etkä tietäis edes kenen lapsi on jos tekisit niin.. mikä häpeä lapselle! 	 0.9806124567985535
s24:ffe688f46222050bb28121b2d8de2a65 	 not-insult 	 Tämä asia on tiedetty jo kauan: Tyhmä saa olla, mutta ei tykkimies. 	 0.30676743388175964
s24:00b696f3ce74a38ac17cb18e0f35a9dc 	 not-insult 	 Mahtaiskohan liittyä jotenkin vaihdetangon säätöön? Säätö löytyy perästä etupuolelta, 2kpl 10mm kiintoavaimia ja säätämään. Tai sit sulla on perä paskana. 	 0.9585109353065491
s24:fd349955c0b371518d0803f03234ecf1 	 insult 	 muuten vaan niin ääliö ettei vielä ymmärrä että tämäkin palsta on sitä varten et kysytään muilta jos ei itte tiedä. Vai ekkö osaa otsikkoa lukea K-E-N-E-N B-I-I-S-I?????? Jokainen varmaan osaa googlettaa, mut miks tää palsta on sit olemassa? Jos et tiedä, nii mitä vit*a tuut sit esittään tänne viisaita vastauksias..... 	 0.9968429803848267
s24:4805300becee3cdb14d0702e653f0bf7 	 not-insult 	 Hyvä ja iskevä t-paitateksti esim: PIERU ON PERSEESTÄ! 	 0.9817967414855957
s24:a94f4d84d58547378397d6508f72d82d 	 not-insult 	 Huoraa paljaalla?  Kuinka moni on päässyt panemaan huoraa paljaalla? Minä olen, tosin oli siviilipano eikä rahaa vaihdettu ollenkaan. Kyllä se uikutti nautinnosta kun vedin paljaalla isolla munalla. Ensin poskeen ja sitten sisään. Olen tällainen kalju, tatuoitu panokone niin huoraakin kiinnostaa. 	 0.5204250812530518
s24:eee90e5d10199314af2ffd047f152adb 	 not-insult 	 Suomi tuhutan  Vääräuskonen sika tappatan ja sen parhe tappatan Islam voitaa 	 0.5019894242286682
s24:66a0d8644a3c91864f17c70fb1c20b1d 	 not-insult 	 siis tarkoitus oli:  a b c d e f g a h d a h c d e f g a h c 	 0.8327112197875977
s24:e0572178045dad6a722fcd6047c51ddb 	 insult 	 "Ei, mutta sinä olet olevinasi joku ""kova"" pikkupoika, jolla on oikeesti elämä perseellään. Ja sen takia riehut täällä leikkimässä jotain hackeria" 	 0.9953972697257996
