['s24:bfa2877e5554e7400e808581f470a43b', 'not-threat', 'Saas nähdä kauanko saavat tappaa meitä vääräuskoisia eurooppalaisia koiria, kunnes herätys tapahtuu.']
['s24:0bf9c2c5322a922866ff4eb4baf5ccf2', 'not-threat', 'Ottaisit kovaa kiinni ranteista, painaisit mut allesi liikkumattomaksi, levittäisit polvillasi mun jalkani, purisit mua kaulasta niin että multa melkein loppuis happi... Voi mä haluisin sua niin kovasti... Ja sitten sä..']
['s24:48768de1c3a0e5979c32d6a1b41b1918', 'not-threat', 'En ole sanonut ketään pedofiiliksi enkä resuperseeksi.  Kusipäiksi ja maijoiksi kutsun jokaista tälle palstalle hutsuttelevaa ja mielisairaalatasoista tekstiä kirjoittavia, kuten myös uhkailijoita.  Sinua tällä perusteella kutsun kusipääksi ja maijaksi, täsmälleen samalla oikeudella kuin te Pattayan rakkaat kusipäät olette päätynyt kutsumaan minua varsin monella nimellä ja huorittelemaan vaimoani.  Revi siitä 🐒 ja kuole tavallas.']
['s24:a47a59a07763ae4e0bd7c81e7c51bdc7', 'threat', 'ATM:ät luulevat että maahanmuutto on ongelma  Paljon pahempi ongelma on se hiljainen sota, jossa top 5% nussii kaikki naiset ja 95% miehistä runkkailee! Syntyvyys alenee jne! 50 vuoden päästä suomen väestö on kuollut!  Eikä ulkomaalaisia ole haitoille asti kuin Helsingin rautatieasemalla. Tyhmät rasistit luulevat sitten että ulkomaalaisväestön tiheys on sama koko suomessa. Ei ole tyhmempää kuin rasisti! Kuolema rasisteille!']
['s24:ec1ecc50cc5b0e22a0df887ca3aa3458', 'not-threat', 'sä kuolet tyyppi,mieti sitä,ja runkkaa ittes uneen,']
['s24:3a900e6a5fb56eb82f0cd284e0672472', 'threat', 'Tekijä pitäisi tappaa nälkään torilla lasipurkissa']
['s24:31f682d09916ba2c1f28cb39d4897704', 'not-threat', 'Toivottavasti likka raiskataan tuhat kertaa ja lopuksi mestataan allahin nimeen.  Ehkä muut suomihorot oppisivat silloin jotain.']
['s24:ce3fdacb8303402b8fba3a14d1ae4cae', 'not-threat', 'Tuollaiset limaiset tätinaiset pitäisi viedä linnaan! Kuolaavat nuorten poikien perään kun eivät oman ikäistään saa!']
['s24:8ce878662bfc80a4ffc195e92798af84', 'not-threat', 'Tumps tumps, aivot halki ja kuolee aivoverivuotoon.']
['s24:3adbb2db7653b5906a69a5eb457bb236', 'threat', 'Voi prkle kun pääsisi kuristamaan Putinin äpärän kuoliaaksi ja paloittelelmaan tuon apinan venäläisten syötäväksi.']
['s24:f79f858f183194617ca7838a3f5ebd04', 'not-threat', '..maksa räjähtää ja kuolet heti tai ainakin nuorena kuolet jos sille tielle meet jos ottaa liikaa']
['s24:9103098bb20239e3817f9ab4d789dcf3', 'not-threat', 'Trump tulee ja tappaa.']
['s24:3575137ebea4983b4c327c120f9ded28', 'not-threat', 'Ei tätä elämää voi ymmärtää. Luulin että teini-iän jälkeen helpottaisi, mutta paskat. Elämä on loputonta ihmettelyä, kuka panee ketä ja miten muut tekevät sen. Ruokaa, juomaa, kuntoilua, rupsahdat ja kuolet.']
['s24:20f2c95c52bd4817d11e5b3927f0cbf5', 'threat', 'Helsinginpoliisin tuomio  Joko helsingin suvakkipoliisi on mennyt matuleirille kukkien kanssa kahville? vitun paskat! ajan saatana teidän haalaripellejen päälle kun osutte kohdalle ja ammun!.siitä voitte olla varmoja!supolle samat sanat,nimenne ovat tiedossa,kuten muidenkin suvakkihuorien.']
['s24:36a123cbaa5b376bfe3a59b621c37a6e', 'threat', 'Sinä tässä hullu olet kun kirjottelet tollasta. Sairasta sanoa mitään tollasta. Ei me kaikki bipot niin sekaisin olla etteikö meillä ois oikeus saada lapsia. Sunlainen ihmisryhmä pitäis hävittää maapallolta.']
['s24:0cfa4e361439fd36db1f613ba3355f0d', 'threat', 'tapetaan kaikki muslimi homot:)']
['s24:52f62e81d379937e241b6c2dac945367', 'not-threat', 'Lääkäri pelastaa sut kuolemalta parhaassa tapuksessa vai haluatko mennä kuolemaan tukimaillesi että kukaan tarkistaa mikä vaivaa?']
['s24:d887a678a527de7e8204c0170500bde5', 'not-threat', '...sinulle hyvää seuraa. Syövän saat ja sairastut. Halosta on jäljellä vielä moniksi vuosiksi ja sitten saamma virkaan uuden demarin.']
['s24:09e6ff4ed2891a64005830d6ca7c829c', 'not-threat', 'Se joka piäremättä kusoo, se naimatta kuoloo.']
['s24:ba979baa641ceafdaf6c8597d532b1cb', 'not-threat', 'Onneksi kuolen syöpääni ennenkuin islamistit pätkäisee kaulan. Jotain positiivista...']
['s24:9bb89de2cc8f095e6e251c3f2bf0b2b2', 'threat', 'Jaa-a. Enpä taida viitsiä kipaista kysymässä paikalliselta imaamilta mitään. Imaami varmaan mielellään repisi vääräuskoiselta apinalta pään irti, siihen en tarjoa mahdollisuutta.  Siinä vaiheessa kun Suomi käy muslimien kanssa sotaa omassa maassamme...ammun paikallisen imaamin aivot tohjoksi ja leikkaan siltä kyrvän irti ennen sitä. Kyrvän paistan sapuskaksi katukoirille. Paikallisen imaamin jätän mätänemään kadulle.']
['s24:8e7c173c541f4eee031f209ed380c98c', 'threat', 'ampua ittes, senkin homppeli! ja sanos, kuinka pystyit harrastaan seksiä ilman, että sulla ees seiso?']
['s24:a5687a4b56819e567e3b68751209647e', 'not-threat', 'Älä tapa vääräuskoista.']
['s24:810e07f5b6d71eb64757bdaaef603818', 'not-threat', 'Äly hoi. Eivät kaikki 15-60 vuotiaat miehet halua sotia. Sinä siis kannatat, että kaikki tuon ikäiset miehet pitäisi teloittaa varmuuden vuoksi. Natsi.']
['s24:ca7a57ebb6d49ffe799708638a04524c', 'not-threat', 'voi vittu!!!!!!!!!!! kuolen kohta vitutukseen  HYVÄSTI']
['s24:723c2f7529789079f5e79aa16b0c1b19', 'not-threat', 'Hyvä! Jatka naisia karkoittavaa naisvihaa ja surkuhupaisaa narsistista perseilyäsi. On parempi ettei kukaan nainen lähesty sinua, joutuisi varmaan raiskatuksi ja pahoinpidellyksi. Samaa suosittelen muillekin ATM:ille.']
['s24:d10434a80f0698607080216581e0bb8f', 'threat', 'Hyi vittu että oot ruma, ammu vaikka ittes.']
['s24:c46ab661506bba07ca201daa00119a18', 'threat', 'Hörhöt hei!!  Lappeenrantaan sitä karhua perskavoihin.. Tai eihän teistä vitun hampaattomista oo edes siihenkään !! Minä lataan kiväärini ja ammun jos kohalle sattuu !!']
['s24:4748b88499d54d51df250e1915276650', 'not-threat', 'HETI! jos sulla on vuotava mahahaava, siihen kuolee todella nopeesti.  joten suosittelen lääkäriä.']
